Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDA4NTgyMDA0MjY2NjE6MTY5ODEzNTY3MzpzcF9hdGY6MjAxMDA5MjAzMzExOTg6OjA6Og&url=%2FBusiness-Casual-Compartment-Resistant-Backpack%2Fdp%2FB08N6HSJJ5%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1698135673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/Travel/Business/College/School (Black),249,3.9 out of 5 stars,"1,017"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDA4NTgyMDA0MjY2NjE6MTY5ODEzNTY3MzpzcF9hdGY6MzAwMDE2NjE4MTk2NTMyOjowOjo&url=%2FZebronics-Compartment-Backpacks-15-6-inch-Black%2Fdp%2FB0C6KZS555%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1698135673%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",699,3.6 out of 5 stars,33
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_3?keywords=bags&qid=1698135673&sr=8-3,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps","1,869",4.3 out of 5 stars,"5,347"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1698135673&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),749,4.3 out of 5 stars,"13,297"
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?keywords=bags&qid=1698135673&sr=8-5,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),398,4.0 out of 5 stars,"56,420"
https://aax-eu.amazon.in/x/c/RLwquSaCrtR4bNX8vBEXA-0AAAGLYMYJ_QMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDn07xV/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e%3Aamzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=eea4564c-ee4c-42fb-8dc1-7bc686513ecb&pd_rd_w=7y0aK&pd_rd_wg=Atv1X&pf_rd_p=10447c6b-3f84-4df3-b999-01a8bbbf010e&pf_rd_r=FSEHM7M2YJ9FTFV1X4M0&qid=1698135673&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351,"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)",399,3.8 out of 5 stars,436
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_6?keywords=bags&qid=1698135673&sr=8-6,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,499,4.3 out of 5 stars,"6,920"
https://www.amazon.in/Red-Lemon-Ironlook-Briefcase-Anti-Theft/dp/B09ZYMT7V1/ref=sr_1_7?keywords=bags&qid=1698135673&sr=8-7,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"1,098",4.4 out of 5 stars,118
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_8?keywords=bags&qid=1698135673&sr=8-8,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,731,3.9 out of 5 stars,"4,309"
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_9?keywords=bags&qid=1698135673&sr=8-9,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,799,3.9 out of 5 stars,"3,880"
