Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQ2MzMzMDk5NTEwNjYxOjE2OTgxMzU3NDI6c3BfYXRmX25leHQ6MzAwMDM5MzQ3NjUwMjMyOjowOjo&url=%2FWALKENT-Premium-Semi-Hard-Anti-Theft-Waterproof%2Fdp%2FB0CFJT6P1R%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1698135742%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"WALKENT Premium 15.6"" Laptop Bag | Semi-Hard Shell | Anti-Theft Pocket with In-Built Lock | Waterproof Fabric & Zipper | For Office, College - Mia, 24 Ltrs",200,5.0 out of 5 stars,3
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQ2MzMzMDk5NTEwNjYxOjE2OTgxMzU3NDI6c3BfYXRmX25leHQ6MjAwNjgxOTQzMzMyMDM6OjA6Og&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HM4TQZZ%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1698135742%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Multi-pockets with USB Port for Business Travel College,Dark Grey","3,283",4.3 out of 5 stars,"3,630"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_35?keywords=bags&qid=1698135742&sr=8-35,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,"1,999",3.8 out of 5 stars,513
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_36?keywords=bags&qid=1698135742&sr=8-36,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",449,4.1 out of 5 stars,"10,351"
https://www.amazon.in/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ/ref=sr_1_37?keywords=bags&qid=1698135742&sr=8-37,Wesley 15 Liter Casual Daypack Backpack,563,3.8 out of 5 stars,378
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_38?keywords=bags&qid=1698135742&sr=8-38,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,229,4.2 out of 5 stars,954
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_39?keywords=bags&qid=1698135742&sr=8-39,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),149,3.7 out of 5 stars,"2,794"
https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27CYC4/ref=sr_1_40?keywords=bags&qid=1698135742&sr=8-40,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)","1,099",3.8 out of 5 stars,356
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_41?keywords=bags&qid=1698135742&sr=8-41,Gear Vintage2 28L Medium Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Navy,529,4.4 out of 5 stars,"3,443"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_42?keywords=bags&qid=1698135742&sr=8-42,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",999,4.1 out of 5 stars,"6,799"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQ2MzMzMDk5NTEwNjYxOjE2OTgxMzU3NDI6c3BfbXRmOjMwMDA2MzU1NTc0MjQzMjo6MDo6&url=%2FTRAWOC-Travel-Backpack-Versatile-Occasions-Navyblue%2Fdp%2FB0CFFLYSVS%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dbags%26qid%3D1698135742%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"TRAWOC Travel Backpack - Versatile 40 Litre Backpack for Men and Women, Laptop Backpack with water resistant fabric, Casual Bag Suitable for All Occasions",799,5.0 out of 5 stars,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQ2MzMzMDk5NTEwNjYxOjE2OTgxMzU3NDI6c3BfbXRmOjMwMDAwODAyMDU4OTgzMjo6MDo6&url=%2FAristocrat-Draw-Pack-Unisex-Grey-Laptop%2Fdp%2FB0B5YGP1BV%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dbags%26qid%3D1698135742%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Aristrocrat Draw-Pack 15L Unisex Grey Laptop Bags (Small size),639,4.0 out of 5 stars,28
https://www.amazon.in/Lenovo-Comfortable-Dedicated-Compartment-4X41C94115/dp/B09QCYXZ1H/ref=sr_1_45?keywords=bags&qid=1698135742&sr=8-45,"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",967,4.6 out of 5 stars,26
https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_46?keywords=bags&qid=1698135742&sr=8-46,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",479,3.9 out of 5 stars,823
https://www.amazon.in/American-Tourister-FJ9-08-001/dp/B07N15QM1C/ref=sr_1_47?keywords=bags&qid=1698135742&sr=8-47,American Tourister Ohio Polyester 55 Cms Wheel Travel Duffle Bag (Grey),599,4.0 out of 5 stars,"1,163"
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6/ref=sr_1_48?keywords=bags&qid=1698135742&sr=8-48,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),918,3.4 out of 5 stars,148
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_49?keywords=bags&qid=1698135742&sr=8-49,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,"1,599",3.6 out of 5 stars,150
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_50?keywords=bags&qid=1698135742&sr=8-50,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",189,4.3 out of 5 stars,"3,173"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_51?keywords=bags&qid=1698135742&sr=8-51,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,429,4.3 out of 5 stars,"1,382"
https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_52?keywords=bags&qid=1698135742&sr=8-52,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",413,4.2 out of 5 stars,"3,750"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQ2MzMzMDk5NTEwNjYxOjE2OTgxMzU3NDI6c3BfYnRmOjIwMDY4MTk0MzM0NjAzOjowOjo&url=%2FBackpack-Charging-Multi-Layer-Capacity-Backpacks%2Fdp%2FB084QGF2JM%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1698135742%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Arctic Hunter Backpack for Men 35L Office Travel Backpack Fit Up to 17.3-inch Laptop Water-resistant Anti-theft Laptop Bag with USB Port Multi-Layer Large Capacity Expandable Bag for Men and Women, Black","1,399",4.5 out of 5 stars,389
