Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjQ1MzcyNzMxNjYyNjYxOjE2OTgxMzU3Nzc6c3BfYXRmX25leHQ6MjAxMDg0NzUwNzQ2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dbags%26qid%3D1698135777%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","6,499",4.3 out of 5 stars,98
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjQ1MzcyNzMxNjYyNjYxOjE2OTgxMzU3Nzc6c3BfYXRmX25leHQ6MjAxNjczNTQwOTkzOTg6OjA6Og&url=%2FRAPTORS-Resistant-Backpack-Business-Compartment%2Fdp%2FB0C4Q5G2QW%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Dbags%26qid%3D1698135777%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,RAPTORS 35L Water Resistant 15.6 inch Laptop Backpack bag for men and women Office/School/Travel/Business Padded with Laptop Compartment,"2,599",4.0 out of 5 stars,15
https://www.amazon.in/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/ref=sr_1_67?keywords=bags&qid=1698135777&sr=8-67,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,"2,100",4.0 out of 5 stars,428
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_68?keywords=bags&qid=1698135777&sr=8-68,ADISA 31 Ltrs Casual Backpack School College Bag Pack,499,3.9 out of 5 stars,362
https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_69?keywords=bags&qid=1698135777&sr=8-69,Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),399,3.6 out of 5 stars,47
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/ref=sr_1_70?keywords=bags&qid=1698135777&sr=8-70,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,349,4.0 out of 5 stars,"1,131"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_71?keywords=bags&qid=1698135777&sr=8-71,"WildHorn 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",375,4.1 out of 5 stars,"1,998"
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_72?keywords=bags&qid=1698135777&sr=8-72,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,"1,095",3.5 out of 5 stars,360
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_73?keywords=bags&qid=1698135777&sr=8-73,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",540,4.1 out of 5 stars,"6,799"
https://www.amazon.in/Exotic-Sling-Womens-Girls-Grey/dp/B092VSZ69M/ref=sr_1_74?keywords=bags&qid=1698135777&sr=8-74,EXOTIC Women's Sling Bag,599,4.2 out of 5 stars,"2,763"
