Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDQ5MDA4MTQxNjMxNjU4OjE2OTc4ODUyNTA6c3BfYnRmOjIwMDY4MTk0MzM0MTAzOjowOjo&url=%2FSemi-Hard-Anti-Theft-Backpack-Waterproof-Charging%2Fdp%2FB07X399726%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1697885250%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Arctic Hunter Gaming Backpack Bag for 15.6 inch Laptop, Biking Backpack, Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black",749,4.4 out of 5 stars,"3,309"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDgzMzgwNDA2NDIxNjU4OjE2OTc4ODUzNjg6c3BfYXRmX25leHQ6MzAwMDYzNTU1NzQyMzMyOjowOjo&url=%2FTRAWOC-Travel-Backpack-Versatile-Occasions-Grey%2Fdp%2FB0CFFLDFRS%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1697885368%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"TRAWOC Travel Backpack - Versatile 40 Litre Backpack for Men and Women, Laptop Backpack with water resistant fabric, Casual Bag Suitable for All Occasions","1,799",5.0 out of 5 stars,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDgzMzgwNDA2NDIxNjU4OjE2OTc4ODUzNjg6c3BfYXRmX25leHQ6MzAwMDQ3MDU2MjIxNzMyOjowOjo&url=%2FTabelito-NEXA-Backpack-Business-Compartment%2Fdp%2FB0C2D4KWQ6%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1697885368%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook","1,899",4.0 out of 5 stars,177
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_35?keywords=bags&qid=1697885368&sr=8-35,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,"6,499",3.9 out of 5 stars,"1,407"
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_36?keywords=bags&qid=1697885368&sr=8-36,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,989,4.0 out of 5 stars,"13,859"
https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/ref=sr_1_37?keywords=bags&qid=1697885368&sr=8-37,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",349,4.1 out of 5 stars,347
https://www.amazon.in/Storite-Pack-Big-Underbed-Moisture/dp/B07B8K3RQK/ref=sr_1_38?keywords=bags&qid=1697885368&sr=8-38,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",399,4.4 out of 5 stars,"18,137"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_39?keywords=bags&qid=1697885368&sr=8-39,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",449,4.1 out of 5 stars,"6,731"
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_40?keywords=bags&qid=1697885368&sr=8-40,ADISA Light Weight Laptop Backpack 32 Ltrs,849,4.0 out of 5 stars,"6,221"
https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_41?keywords=bags&qid=1697885368&sr=8-41,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",697,3.9 out of 5 stars,821
