Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfYXRmX25leHQ6MjAxMDU3MTU4MjE1OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","6,499",4.5 out of 5 stars,82
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfYXRmX25leHQ6MjAxMTIwOTYzMTc1OTg6OjA6Og&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,599",4.2 out of 5 stars,77
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964/ref=sr_1_99?keywords=bags&qid=1698135812&sr=8-99,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,"1,650",3.9 out of 5 stars,"1,420"
https://www.amazon.in/DZert-Panda-School-Backpacks-Cartoon/dp/B07Y2BFJ1B/ref=sr_1_100?keywords=bags&qid=1698135812&sr=8-100,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),"2,000",3.7 out of 5 stars,"12,766"
https://www.amazon.in/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_101?keywords=bags&qid=1698135812&sr=8-101,Nivia Polyester Pulse Bag,399,3.7 out of 5 stars,58
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L/ref=sr_1_102?keywords=bags&qid=1698135812&sr=8-102,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,449,4.3 out of 5 stars,17
https://www.amazon.in/Shalimar-Premium-Garbage-Large-Dustbin/dp/B01NC2R52J/ref=sr_1_103?keywords=bags&qid=1698135812&sr=8-103,Shalimar Premium OXO - Biodegradable Garbage Bags Size 24 X 32 Inches (Large) 90 Bags (6 Rolls) Dustbin Bag/Trash Bag - Black Color,228,4.5 out of 5 stars,"4,482"
https://www.amazon.in/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ/ref=sr_1_104?keywords=bags&qid=1698135812&sr=8-104,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),229,4.3 out of 5 stars,401
https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ/ref=sr_1_105?keywords=bags&qid=1698135812&sr=8-105,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",459,4.6 out of 5 stars,20
https://www.amazon.in/Shalimar-Premium-Garbage-Small-Rolls/dp/B07KT56WHT/ref=sr_1_106?keywords=bags&qid=1698135812&sr=8-106,Shalimar Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,459,4.4 out of 5 stars,"7,191"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfbXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",870,4.0 out of 5 stars,588
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfbXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",899,4.0 out of 5 stars,287
https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32/ref=sr_1_109?keywords=bags&qid=1698135812&sr=8-109,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,199,4.4 out of 5 stars,592
https://www.amazon.in/Stylbase-Trends-Polyester-Character-Embossed/dp/B0BNL2PBPH/ref=sr_1_110?keywords=bags&qid=1698135812&sr=8-110,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures","1,300",4.0 out of 5 stars,216
https://www.amazon.in/ASTRID-Blue-Diamond-Textured-Cotton/dp/B08W5DQ33D/ref=sr_1_111?keywords=bags&qid=1698135812&sr=8-111,ASTRID Blue Diamond Textured Cotton Tote Bag,"1,500",4.2 out of 5 stars,275
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_112?keywords=bags&qid=1698135812&sr=8-112,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Black","4,716",4.3 out of 5 stars,"13,603"
https://www.amazon.in/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1/ref=sr_1_113?keywords=bags&qid=1698135812&sr=8-113,American Tourister Harp Duffle Bag 52 CM Grey,551,4.0 out of 5 stars,36
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_114?keywords=bags&qid=1698135812&sr=8-114,Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,449,4.1 out of 5 stars,"1,297"
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TD6BN7Y/ref=sr_1_115?keywords=bags&qid=1698135812&sr=8-115,"Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 Bags/Roll (Pack of 3, Green, For Wet Waste, plastic)",389,4.3 out of 5 stars,"1,202"
https://www.amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_116?keywords=bags&qid=1698135812&sr=8-116,"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack","1,099",3.8 out of 5 stars,199
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfYnRmOjMwMDAxNjYxODE5NjczMjo6MDo6&url=%2FZEBRONICS-Compartment-Backpacks-15-6-inch-Polyester%2Fdp%2FB0C6QNNPMM%2Fref%3Dsr_1_117_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"ZEBRONICS Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Grey)",595,3.6 out of 5 stars,33
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk4Njk1ODE0NDYxNjYxOjE2OTgxMzU4MTI6c3BfYnRmOjMwMDA0Njk5MTM0MTgzMjo6MDo6&url=%2FAmazon-Basics-Laptop-College-Backpack%2Fdp%2FB0C8NSJ4RD%2Fref%3Dsr_1_118_sspa%3Fkeywords%3Dbags%26qid%3D1698135812%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",219,4.0 out of 5 stars,10
https://aax-eu.amazon.in/x/c/RJy1PJjnd98FCUPGC2RyqCgAAAGLYMgpAAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAntjUd/https://www.amazon.in/Secure-Combination-Waterproof-College-Walkent/dp/B09T71WXSF/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09T71WXSF&pd_rd_r=9362e59a-db3b-47bb-b481-5c0edcd7e64a&pd_rd_w=pJ57m&pd_rd_wg=GdBym&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=FSKQSPFN49WYJ5DXXZB9&qid=1698135812&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-97-ad43fbe4-6f9c-4603-ab45-acb189caa93f,"WALKENT ARCTIC HUNTER Premium 15.6"" Hard Shell Laptop Bag, Anti Theft Lock, Waterproof, Stylish Backpack for Office, College, Travel, Men, Women - Secure, 21L, 1 Main Compartment",689,4.4 out of 5 stars,57
