Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2MTQxMTQxMDQ2NjYxOjE2OTgxMzU2OTE6c3BfYXRmX25leHQ6MjAwNjgxOTQzMzM3MDM6OjA6Og&url=%2FBackpack-15-6inch-Resistant-Anti-Theft-Charging%2Fdp%2FB07TW713SC%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dbags%26qid%3D1698135691%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Arctic Hunter Backpack for Men, 15.6-inch Laptop Bag for Men 28L Breathable & Comfortable Travel Backpack Polyester Wear & Water-resistant Anti-Theft EVA Shockproof Laptop Backpack with USB Charging Port Earphone Jack Business Backpack for Travel Office College, Black","6,499",4.1 out of 5 stars,332
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2MTQxMTQxMDQ2NjYxOjE2OTgxMzU2OTE6c3BfYXRmX25leHQ6MjAwNjgxOTQzMzMxMDM6OjA6Og&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HJ1YDQ2%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1698135691%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Water Resistant Multi-pockets Laptop Backpack with USB Port for Business Travel College Men and Women Gifts,Blue","2,599",4.3 out of 5 stars,"3,630"
https://www.amazon.in/Impulse-IMP-Backpack-Resistant-Navy/dp/B0CJHXH8M8/ref=sr_1_19?keywords=bags&qid=1698135691&sr=8-19,Impulse IMP Omega 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,"2,224",4.7 out of 5 stars,12
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_20?keywords=bags&qid=1698135691&sr=8-20,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,"1,999",4.4 out of 5 stars,"6,254"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_21?keywords=bags&qid=1698135691&sr=8-21,Skybags One Size Brat Black 46 Cms Casual Backpack,510,4.1 out of 5 stars,"6,346"
https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_22?keywords=bags&qid=1698135691&sr=8-22,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",798,3.6 out of 5 stars,40
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_23?keywords=bags&qid=1698135691&sr=8-23,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Navy-Tan),619,4.4 out of 5 stars,"6,815"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_24?keywords=bags&qid=1698135691&sr=8-24,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,529,3.8 out of 5 stars,513
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_25?keywords=bags&qid=1698135691&sr=8-25,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),799,4.3 out of 5 stars,"6,613"
https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/ref=sr_1_26?keywords=bags&qid=1698135691&sr=8-26,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",449,4.1 out of 5 stars,351
